"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Pol3StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Srebp1IggrabPk.narrowPeak.csv"
"jaccard_index","0.000824143988801283"
"pi_score","4.07015935753085"
"p_value","0.5"
"percentage_A","0.0276211337403489"
"percentage_B","0.000848769594380744"
"Min.","0.000140351527307173"
"1st Qu.","0.000140351527307173"
"Median","0.000140351527307173"
"Mean","0.000140351527307173"
"3rd Qu.","0.000140351527307173"
"Max.","0.000140351527307173"
