"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Sin3anb6001263IggmusPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Tblr1ab24550IggmusPk.narrowPeak.csv"
"jaccard_index","0.284694061414933"
"pi_score","87.5212143939451"
"p_value","0.5"
"percentage_A","0.675637664117602"
"percentage_B","0.329765352553918"
"Min.","0.00225470918517754"
"1st Qu.","0.00225470918517754"
"Median","0.00225470918517754"
"Mean","0.00225470918517754"
"3rd Qu.","0.00225470918517754"
"Max.","0.00225470918517754"
