"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Srebp1IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Gm12878/wgEncodeSydhTfbsGm12878Srebp1IggrabPk.narrowPeak.csv"
"jaccard_index","1"
"pi_score","2427.40490364792"
"p_value","0.5"
"percentage_A","1"
"percentage_B","1"
"Min.","0.000285550704589201"
"1st Qu.","0.000285550704589201"
"Median","0.000285550704589201"
"Mean","0.000285550704589201"
"3rd Qu.","0.000285550704589201"
"Max.","0.000285550704589201"
