"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescChd1a301218aStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescSp2V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.00192610797179165"
"pi_score","3.68385418029914"
"p_value","0.5"
"percentage_A","0.00192737786968021"
"percentage_B","0.745114854517611"
"Min.","0.000362412909078015"
"1st Qu.","0.000362412909078015"
"Median","0.000362412909078015"
"Mean","0.000362412909078015"
"3rd Qu.","0.000362412909078015"
"Max.","0.000362412909078015"
