"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescChd7a301223a1Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescSirt6Pk.broadPeak.csv"
"jaccard_index","0.414009038496047"
"pi_score","1.78384136794199"
"p_value","0.5"
"percentage_A","0.706422699876886"
"percentage_B","0.500044215438637"
"Min.","0.160871478213864"
"1st Qu.","0.160871478213864"
"Median","0.160871478213864"
"Mean","0.160871478213864"
"3rd Qu.","0.160871478213864"
"Max.","0.160871478213864"
