"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescCtcfStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeSydhTfbsH1hescMaxUcdPk.narrowPeak.csv"
"jaccard_index","0.048300625965653"
"pi_score","6.74972504530789"
"p_value","0.5"
"percentage_A","0.053000844693669"
"percentage_B","0.352604136003668"
"Min.","0.00496011948377753"
"1st Qu.","0.00496011948377753"
"Median","0.00496011948377753"
"Mean","0.00496011948377753"
"3rd Qu.","0.00496011948377753"
"Max.","0.00496011948377753"
