"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescH2azStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescGabpPcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.00486379275242979"
"pi_score","1.52123574384218"
"p_value","0.5"
"percentage_A","0.00488249418336101"
"percentage_B","0.559436314817703"
"Min.","0.00221617474268627"
"1st Qu.","0.00221617474268627"
"Median","0.00221617474268627"
"Mean","0.00221617474268627"
"3rd Qu.","0.00221617474268627"
"Max.","0.00221617474268627"
