"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescH3k4me2StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescPhf8a301772aPk.broadPeak.csv"
"jaccard_index","0.145566055085065"
"pi_score","2.81610560053222"
"p_value","0.5"
"percentage_A","0.399370403218112"
"percentage_B","0.186365768087644"
"Min.","0.0358291608980776"
"1st Qu.","0.0358291608980776"
"Median","0.0358291608980776"
"Mean","0.0358291608980776"
"3rd Qu.","0.0358291608980776"
"Max.","0.0358291608980776"
