"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescH3k4me3StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescHdac2a300705aPk.broadPeak.csv"
"jaccard_index","0.136105850804745"
"pi_score","3.23423042779298"
"p_value","0.5"
"percentage_A","0.599626425018487"
"percentage_B","0.149711407982503"
"Min.","0.0291696553010911"
"1st Qu.","0.0291696553010911"
"Median","0.0291696553010911"
"Mean","0.0291696553010911"
"3rd Qu.","0.0291696553010911"
"Max.","0.0291696553010911"
