"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescH3k4me3StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeSydhTfbsH1hescCjunIggrabPk.narrowPeak.csv"
"jaccard_index","0.0185715712242154"
"pi_score","8.50991736844658"
"p_value","0.5"
"percentage_A","0.0190174070571687"
"percentage_B","0.442020960936928"
"Min.","0.0015126859257604"
"1st Qu.","0.0015126859257604"
"Median","0.0015126859257604"
"Mean","0.0015126859257604"
"3rd Qu.","0.0015126859257604"
"Max.","0.0015126859257604"
