"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescH3k79me2StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescYy1sc281V0416102PkRep1.broadPeak.csv"
"jaccard_index","0.0137187019146725"
"pi_score","2.34054471662429"
"p_value","0.5"
"percentage_A","0.0140696329131072"
"percentage_B","0.3548447003399"
"Min.","0.00406276346081192"
"1st Qu.","0.00406276346081192"
"Median","0.00406276346081192"
"Mean","0.00406276346081192"
"3rd Qu.","0.00406276346081192"
"Max.","0.00406276346081192"
