"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescH3k9acStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescH4k20me1StdPk.broadPeak.csv"
"jaccard_index","0.24622074389015"
"pi_score","2.12491355145309"
"p_value","0.5"
"percentage_A","0.524897221971851"
"percentage_B","0.316830543087761"
"Min.","0.0803172506976211"
"1st Qu.","0.0803172506976211"
"Median","0.0803172506976211"
"Mean","0.0803172506976211"
"3rd Qu.","0.0803172506976211"
"Max.","0.0803172506976211"
