"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescH3k9acStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescAtf2sc81188V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.0136511549083522"
"pi_score","4.49087029890252"
"p_value","0.5"
"percentage_A","0.0137069475766534"
"percentage_B","0.770313897369044"
"Min.","0.00210699906840413"
"1st Qu.","0.00210699906840413"
"Median","0.00210699906840413"
"Mean","0.00210699906840413"
"3rd Qu.","0.00210699906840413"
"Max.","0.00210699906840413"
