"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescH3k9acStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeSydhTfbsH1hescZnf274m01UcdPk.narrowPeak.csv"
"jaccard_index","0.00115696822994817"
"pi_score","2.20463926295685"
"p_value","0.5"
"percentage_A","0.00115960140279576"
"percentage_B","0.33753238589842"
"Min.","0.000363755322723608"
"1st Qu.","0.000363755322723608"
"Median","0.000363755322723608"
"Mean","0.000363755322723608"
"3rd Qu.","0.000363755322723608"
"Max.","0.000363755322723608"
