"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescH4k20me1StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeSydhTfbsH1hescUsf2IggrabPk.narrowPeak.csv"
"jaccard_index","0.00701195493600395"
"pi_score","1.95255955742919"
"p_value","0.5"
"percentage_A","0.00705345864972696"
"percentage_B","0.543725944850373"
"Min.","0.00248920283922289"
"1st Qu.","0.00248920283922289"
"Median","0.00248920283922289"
"Mean","0.00248920283922289"
"3rd Qu.","0.00248920283922289"
"Max.","0.00248920283922289"
