"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescJarid1aab26049StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescJmjd2aa300861a1Pk.broadPeak.csv"
"jaccard_index","0.127673817876429"
"pi_score","3.02986250576907"
"p_value","0.5"
"percentage_A","0.166809770353934"
"percentage_B","0.35240964910904"
"Min.","0.0292081725569615"
"1st Qu.","0.0292081725569615"
"Median","0.0292081725569615"
"Mean","0.0292081725569615"
"3rd Qu.","0.0292081725569615"
"Max.","0.0292081725569615"
