"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescPhf8a301772aPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescBcl11aPcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.000575402922761145"
"pi_score","1.58078126959089"
"p_value","0.5"
"percentage_A","0.000576285288737454"
"percentage_B","0.27315202661987"
"Min.","0.000252304933813556"
"1st Qu.","0.000252304933813556"
"Median","0.000252304933813556"
"Mean","0.000252304933813556"
"3rd Qu.","0.000252304933813556"
"Max.","0.000252304933813556"
