"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescSap3039731Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescPou5f1sc9081V0416102PkRep1.broadPeak.csv"
"jaccard_index","0.00276608093499088"
"pi_score","3.59420147397593"
"p_value","0.5"
"percentage_A","0.00278101390722573"
"percentage_B","0.339993182125576"
"Min.","0.000533442884371369"
"1st Qu.","0.000533442884371369"
"Median","0.000533442884371369"
"Mean","0.000533442884371369"
"3rd Qu.","0.000533442884371369"
"Max.","0.000533442884371369"
