"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescSap3039731Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeSydhTfbsH1hescMxi1IggrabPk.narrowPeak.csv"
"jaccard_index","0.0473509599288625"
"pi_score","9.13957892085961"
"p_value","0.5"
"percentage_A","0.0483162466319376"
"percentage_B","0.703272411303968"
"Min.","0.00359110465106756"
"1st Qu.","0.00359110465106756"
"Median","0.00359110465106756"
"Mean","0.00359110465106756"
"3rd Qu.","0.00359110465106756"
"Max.","0.00359110465106756"
