"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeBroadHistoneH1hescSirt6Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeSydhTfbsH1hescBach1sc14700IggrabPk.narrowPeak.csv"
"jaccard_index","0.0106859553171565"
"pi_score","1.54511244894496"
"p_value","0.5"
"percentage_A","0.0107329188367048"
"percentage_B","0.709483056809624"
"Min.","0.00479378688893111"
"1st Qu.","0.00479378688893111"
"Median","0.00479378688893111"
"Mean","0.00479378688893111"
"3rd Qu.","0.00479378688893111"
"Max.","0.00479378688893111"
