"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescCreb1sc240V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescSin3ak20Pcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.261704321331901"
"pi_score","135.722776466468"
"p_value","0.5"
"percentage_A","0.441956202122282"
"percentage_B","0.390863406145777"
"Min.","0.00133654510461903"
"1st Qu.","0.00133654510461903"
"Median","0.00133654510461903"
"Mean","0.00133654510461903"
"3rd Qu.","0.00133654510461903"
"Max.","0.00133654510461903"
