"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescCtcfsc5916V0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescJundV0416102PkRep1.broadPeak.csv"
"jaccard_index","0.0100686840284349"
"pi_score","16.6727971000415"
"p_value","0.5"
"percentage_A","0.0107393040327743"
"percentage_B","0.138851450256025"
"Min.","0.000418590828184507"
"1st Qu.","0.000418590828184507"
"Median","0.000418590828184507"
"Mean","0.000418590828184507"
"3rd Qu.","0.000418590828184507"
"Max.","0.000418590828184507"
