"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescCtcfsc5916V0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescNanogsc33759V0416102PkRep1.broadPeak.csv"
"jaccard_index","0.00391492835328059"
"pi_score","5.60821642250242"
"p_value","0.5"
"percentage_A","0.00420444463147479"
"percentage_B","0.0537953276711468"
"Min.","0.00048386534073159"
"1st Qu.","0.00048386534073159"
"Median","0.00048386534073159"
"Mean","0.00048386534073159"
"3rd Qu.","0.00048386534073159"
"Max.","0.00048386534073159"
