"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescCtcfsc5916V0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeSydhTfbsH1hescChd1a301218aIggrabPk.narrowPeak.csv"
"jaccard_index","0.0263971087051662"
"pi_score","8.36668118792237"
"p_value","0.5"
"percentage_A","0.0379442449948525"
"percentage_B","0.0798181483212309"
"Min.","0.00218689837259879"
"1st Qu.","0.00218689837259879"
"Median","0.00218689837259879"
"Mean","0.00218689837259879"
"3rd Qu.","0.00218689837259879"
"Max.","0.00218689837259879"
