"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescFosl1sc183V0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescSp1Pcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.0258596859602364"
"pi_score","125.075057851203"
"p_value","0.5"
"percentage_A","0.488709626563867"
"percentage_B","0.0265787618280558"
"Min.","0.00014331049468574"
"1st Qu.","0.00014331049468574"
"Median","0.00014331049468574"
"Mean","0.00014331049468574"
"3rd Qu.","0.00014331049468574"
"Max.","0.00014331049468574"
