"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescJundV0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescPol2V0416102PkRep1.broadPeak.csv"
"jaccard_index","0.0185101236844063"
"pi_score","27.2934577822445"
"p_value","0.5"
"percentage_A","0.561554406005402"
"percentage_B","0.0187815580354016"
"Min.","0.00047008481468437"
"1st Qu.","0.00047008481468437"
"Median","0.00047008481468437"
"Mean","0.00047008481468437"
"3rd Qu.","0.00047008481468437"
"Max.","0.00047008481468437"
