"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescJundV0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescSp2V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.0289033948777234"
"pi_score","109.470509078915"
"p_value","0.5"
"percentage_A","0.0527896231157167"
"percentage_B","0.0600424078218871"
"Min.","0.000183010993889344"
"1st Qu.","0.000183010993889344"
"Median","0.000183010993889344"
"Mean","0.000183010993889344"
"3rd Qu.","0.000183010993889344"
"Max.","0.000183010993889344"
