"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescNanogsc33759V0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeSydhTfbsH1hescCebpbIggrabPk.narrowPeak.csv"
"jaccard_index","0.0235877074440841"
"pi_score","42.4141834530717"
"p_value","0.5"
"percentage_A","0.288085493095367"
"percentage_B","0.0250477335483301"
"Min.","0.000385478431497557"
"1st Qu.","0.000385478431497557"
"Median","0.000385478431497557"
"Mean","0.000385478431497557"
"3rd Qu.","0.000385478431497557"
"Max.","0.000385478431497557"
