"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescNanogsc33759V0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeSydhTfbsH1hescZnf143IggrabPk.narrowPeak.csv"
"jaccard_index","0.0102171850069355"
"pi_score","16.4706303456172"
"p_value","0.5"
"percentage_A","0.201213520918887"
"percentage_B","0.0106491201379564"
"Min.","0.000429978260224946"
"1st Qu.","0.000429978260224946"
"Median","0.000429978260224946"
"Mean","0.000429978260224946"
"3rd Qu.","0.000429978260224946"
"Max.","0.000429978260224946"
