"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescPou5f1sc9081V0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeHaibTfbsH1hescSp4v20V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.0162021538550767"
"pi_score","29.5882913925371"
"p_value","0.5"
"percentage_A","0.0613022140150104"
"percentage_B","0.0215482111358419"
"Min.","0.000379558154090556"
"1st Qu.","0.000379558154090556"
"Median","0.000379558154090556"
"Mean","0.000379558154090556"
"3rd Qu.","0.000379558154090556"
"Max.","0.000379558154090556"
