"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeSydhTfbsH1hescBach1sc14700IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeSydhTfbsH1hescMaxUcdPk.narrowPeak.csv"
"jaccard_index","0.153469258596479"
"pi_score","40.9293436239578"
"p_value","0.5"
"percentage_A","0.286117488085785"
"percentage_B","0.248700836620407"
"Min.","0.00259903468954013"
"1st Qu.","0.00259903468954013"
"Median","0.00259903468954013"
"Mean","0.00259903468954013"
"3rd Qu.","0.00259903468954013"
"Max.","0.00259903468954013"
