"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeSydhTfbsH1hescBrca1IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H1hesc/wgEncodeSydhTfbsH1hescSin3anb6001263IggrabPk.narrowPeak.csv"
"jaccard_index","0.0949936820838855"
"pi_score","54.5256264278041"
"p_value","0.5"
"percentage_A","0.789257490238699"
"percentage_B","0.0974658655726891"
"Min.","0.00120759003098545"
"1st Qu.","0.00120759003098545"
"Median","0.00120759003098545"
"Mean","0.00120759003098545"
"3rd Qu.","0.00120759003098545"
"Max.","0.00120759003098545"
