"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H7es/wgEncodeUwHistoneH7esH3k36me3StdDiffa14dPkRep1.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_H7es/wgEncodeUwHistoneH7esH3k36me3StdDiffa9dPkRep1.narrowPeak.csv"
"jaccard_index","0.100666162395339"
"pi_score","29.8217219157548"
"p_value","0.5"
"percentage_A","0.194756947739725"
"percentage_B","0.172436995272641"
"Min.","0.00233978664408563"
"1st Qu.","0.00233978664408563"
"Median","0.00233978664408563"
"Mean","0.00233978664408563"
"3rd Qu.","0.00233978664408563"
"Max.","0.00233978664408563"
