"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hct116/wgEncodeHaibTfbsHct116Cebpbsc150V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hct116/wgEncodeHaibTfbsHct116Sin3ak20V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.0929155200981973"
"pi_score","96.8884198100563"
"p_value","0.5"
"percentage_A","0.126764778681056"
"percentage_B","0.258141919767054"
"Min.","0.000664724751550151"
"1st Qu.","0.000664724751550151"
"Median","0.000664724751550151"
"Mean","0.000664724751550151"
"3rd Qu.","0.000664724751550151"
"Max.","0.000664724751550151"
