"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hct116/wgEncodeHaibTfbsHct116Cebpbsc150V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hct116/wgEncodeHaibTfbsHct116Yy1sc281V0416101PkRep1.broadPeak.csv"
"jaccard_index","0.0200349361692133"
"pi_score","41.4914779137268"
"p_value","0.5"
"percentage_A","0.0271888496900065"
"percentage_B","0.0707562427312189"
"Min.","0.000334699080791102"
"1st Qu.","0.000334699080791102"
"Median","0.000334699080791102"
"Mean","0.000334699080791102"
"3rd Qu.","0.000334699080791102"
"Max.","0.000334699080791102"
