"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hct116/wgEncodeHaibTfbsHct116Egr1V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hct116/wgEncodeSydhTfbsHct116Pol2UcdPk.narrowPeak.csv"
"jaccard_index","0.167186882259166"
"pi_score","142.394156135605"
"p_value","0.5"
"percentage_A","0.35679973715751"
"percentage_B","0.239312434468562"
"Min.","0.000813833370761285"
"1st Qu.","0.000813833370761285"
"Median","0.000813833370761285"
"Mean","0.000813833370761285"
"3rd Qu.","0.000813833370761285"
"Max.","0.000813833370761285"
