"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hct116/wgEncodeHaibTfbsHct116Fosl1V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hct116/wgEncodeHaibTfbsHct116Zbtb33V0416101PkRep1.broadPeak.csv"
"jaccard_index","0.0483156142709319"
"pi_score","68.8362379375514"
"p_value","0.5"
"percentage_A","0.0619474568324538"
"percentage_B","0.180033231595384"
"Min.","0.000486514557046253"
"1st Qu.","0.000486514557046253"
"Median","0.000486514557046253"
"Mean","0.000486514557046253"
"3rd Qu.","0.000486514557046253"
"Max.","0.000486514557046253"
