"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeBroadHistoneHelas3CtcfStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeHaibTfbsHelas3Taf1Pcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.00607813485496063"
"pi_score","3.43293070571269"
"p_value","0.5"
"percentage_A","0.00614623482946711"
"percentage_B","0.354243198565453"
"Min.","0.00122724354172609"
"1st Qu.","0.00122724354172609"
"Median","0.00122724354172609"
"Mean","0.00122724354172609"
"3rd Qu.","0.00122724354172609"
"Max.","0.00122724354172609"
