"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeBroadHistoneHelas3CtcfStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Mazab85725IggrabPk.narrowPeak.csv"
"jaccard_index","0.0383306555730498"
"pi_score","4.13050289551711"
"p_value","0.5"
"percentage_A","0.0398189505852145"
"percentage_B","0.506301283958359"
"Min.","0.00643233681504237"
"1st Qu.","0.00643233681504237"
"Median","0.00643233681504237"
"Mean","0.00643233681504237"
"3rd Qu.","0.00643233681504237"
"Max.","0.00643233681504237"
