"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeBroadHistoneHelas3H3k04me1StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3MafkIggrabPk.narrowPeak.csv"
"jaccard_index","0.0472991701571261"
"pi_score","4.82626571111051"
"p_value","0.5"
"percentage_A","0.0487086363622355"
"percentage_B","0.620432123414468"
"Min.","0.00679309602904007"
"1st Qu.","0.00679309602904007"
"Median","0.00679309602904007"
"Mean","0.00679309602904007"
"3rd Qu.","0.00679309602904007"
"Max.","0.00679309602904007"
