"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeBroadHistoneHelas3H3k04me1StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Mazab85725IggrabPk.narrowPeak.csv"
"jaccard_index","0.0461920935811259"
"pi_score","5.23980451243984"
"p_value","0.5"
"percentage_A","0.0475361590489091"
"percentage_B","0.620305491936197"
"Min.","0.0061105179313283"
"1st Qu.","0.0061105179313283"
"Median","0.0061105179313283"
"Mean","0.0061105179313283"
"3rd Qu.","0.0061105179313283"
"Max.","0.0061105179313283"
