"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeBroadHistoneHelas3H3k09me3Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Elk4UcdPk.narrowPeak.csv"
"jaccard_index","0.00157597231593896"
"pi_score","0.706667340750346"
"p_value","0.5"
"percentage_A","0.0015832621974166"
"percentage_B","0.25499871030335"
"Min.","0.00154582036616227"
"1st Qu.","0.00154582036616227"
"Median","0.00154582036616227"
"Mean","0.00154582036616227"
"3rd Qu.","0.00154582036616227"
"Max.","0.00154582036616227"
