"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeBroadHistoneHelas3H3k27acStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Rfx5200401194IggrabPk.narrowPeak.csv"
"jaccard_index","0.151732219897862"
"pi_score","14.9094631253098"
"p_value","0.5"
"percentage_A","0.159543425418111"
"percentage_B","0.756045313140607"
"Min.","0.00705409440557032"
"1st Qu.","0.00705409440557032"
"Median","0.00705409440557032"
"Mean","0.00705409440557032"
"3rd Qu.","0.00705409440557032"
"Max.","0.00705409440557032"
