"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeBroadHistoneHelas3H3k4me2StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Tf3c110StdPk.narrowPeak.csv"
"jaccard_index","0.00967628871805614"
"pi_score","9.74462440764356"
"p_value","0.5"
"percentage_A","0.00968925809013413"
"percentage_B","0.878479084337093"
"Min.","0.000688286378482034"
"1st Qu.","0.000688286378482034"
"Median","0.000688286378482034"
"Mean","0.000688286378482034"
"3rd Qu.","0.000688286378482034"
"Max.","0.000688286378482034"
