"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeBroadHistoneHelas3H4k20me1StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeHaibTfbsHelas3Pol2Pcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.0279093256679829"
"pi_score","1.9535423677672"
"p_value","0.5"
"percentage_A","0.0289924791659349"
"percentage_B","0.42760373038954"
"Min.","0.00990266232116701"
"1st Qu.","0.00990266232116701"
"Median","0.00990266232116701"
"Mean","0.00990266232116701"
"3rd Qu.","0.00990266232116701"
"Max.","0.00990266232116701"
