"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeHaibTfbsHelas3Taf1Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Ap2gammaStdPk.narrowPeak.csv"
"jaccard_index","0.0345421673825668"
"pi_score","28.1564428903756"
"p_value","0.5"
"percentage_A","0.102312006737139"
"percentage_B","0.0495635944023981"
"Min.","0.000850349102153098"
"1st Qu.","0.000850349102153098"
"Median","0.000850349102153098"
"Mean","0.000850349102153098"
"3rd Qu.","0.000850349102153098"
"Max.","0.000850349102153098"
