"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeHaibTfbsHelas3Taf1Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Irf3IggrabPk.narrowPeak.csv"
"jaccard_index","0.0724671088296729"
"pi_score","247.762577906451"
"p_value","0.5"
"percentage_A","0.0867393682490606"
"percentage_B","0.305756784703398"
"Min.","0.000202735911908312"
"1st Qu.","0.000202735911908312"
"Median","0.000202735911908312"
"Mean","0.000202735911908312"
"3rd Qu.","0.000202735911908312"
"Max.","0.000202735911908312"
