"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Bdp1StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Elk4UcdPk.narrowPeak.csv"
"jaccard_index","0.0102371972450115"
"pi_score","64.3884625302762"
"p_value","0.5"
"percentage_A","0.193932463339163"
"percentage_B","0.0106921508004927"
"Min.","0.000110204283941074"
"1st Qu.","0.000110204283941074"
"Median","0.000110204283941074"
"Mean","0.000110204283941074"
"3rd Qu.","0.000110204283941074"
"Max.","0.000110204283941074"
