"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3CebpbIggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3MaxStdPk.narrowPeak.csv"
"jaccard_index","0.143597880543187"
"pi_score","40.425481189227"
"p_value","0.5"
"percentage_A","0.151746805112455"
"percentage_B","0.727819777648272"
"Min.","0.00246217145980241"
"1st Qu.","0.00246217145980241"
"Median","0.00246217145980241"
"Mean","0.00246217145980241"
"3rd Qu.","0.00246217145980241"
"Max.","0.00246217145980241"
