"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3E2f1StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Zzz3StdPk.narrowPeak.csv"
"jaccard_index","0.00552110439926772"
"pi_score","8.33796359945629"
"p_value","0.5"
"percentage_A","0.00691712130698951"
"percentage_B","0.0266280581332667"
"Min.","0.000458977531177886"
"1st Qu.","0.000458977531177886"
"Median","0.000458977531177886"
"Mean","0.000458977531177886"
"3rd Qu.","0.000458977531177886"
"Max.","0.000458977531177886"
