"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3E2f6StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Pol2StdPk.narrowPeak.csv"
"jaccard_index","0.0427211135811025"
"pi_score","48.4668219166491"
"p_value","0.5"
"percentage_A","0.817738126291623"
"percentage_B","0.0431318108744403"
"Min.","0.00061097506001214"
"1st Qu.","0.00061097506001214"
"Median","0.00061097506001214"
"Mean","0.00061097506001214"
"3rd Qu.","0.00061097506001214"
"Max.","0.00061097506001214"
