"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Elk4UcdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Gcn5StdPk.narrowPeak.csv"
"jaccard_index","0.0671748261753815"
"pi_score","159.103511438523"
"p_value","0.5"
"percentage_A","0.073130528612444"
"percentage_B","0.452008210954128"
"Min.","0.000292652506202301"
"1st Qu.","0.000292652506202301"
"Median","0.000292652506202301"
"Mean","0.000292652506202301"
"3rd Qu.","0.000292652506202301"
"Max.","0.000292652506202301"
