"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Hcfc1nb10068209IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Stat3IggrabPk.narrowPeak.csv"
"jaccard_index","0.0263459020497665"
"pi_score","8.53156837530667"
"p_value","0.5"
"percentage_A","0.040778163420162"
"percentage_B","0.0692826007991282"
"Min.","0.00214047252764914"
"1st Qu.","0.00214047252764914"
"Median","0.00214047252764914"
"Mean","0.00214047252764914"
"3rd Qu.","0.00214047252764914"
"Max.","0.00214047252764914"
