"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3MaxIggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Stat1Ifng30StdPk.narrowPeak.csv"
"jaccard_index","0.0662707046544272"
"pi_score","30.9086110988521"
"p_value","0.5"
"percentage_A","0.0730855508255305"
"percentage_B","0.415449976149656"
"Min.","0.00148616681409677"
"1st Qu.","0.00148616681409677"
"Median","0.00148616681409677"
"Mean","0.00148616681409677"
"3rd Qu.","0.00148616681409677"
"Max.","0.00148616681409677"
