"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3MaxIggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Tcf7l2UcdPk.narrowPeak.csv"
"jaccard_index","0.0411025426403917"
"pi_score","63.385507652173"
"p_value","0.5"
"percentage_A","0.0419722405029505"
"percentage_B","0.664838706774158"
"Min.","0.000449473587896014"
"1st Qu.","0.000449473587896014"
"Median","0.000449473587896014"
"Mean","0.000449473587896014"
"3rd Qu.","0.000449473587896014"
"Max.","0.000449473587896014"
