"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Pol2s2IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Znf274UcdPk.narrowPeak.csv"
"jaccard_index","0.00100219362620645"
"pi_score","20.3609112777002"
"p_value","0.5"
"percentage_A","0.00100557942435404"
"percentage_B","0.229376613442968"
"Min.","3.41177109858028e-05"
"1st Qu.","3.41177109858028e-05"
"Median","3.41177109858028e-05"
"Mean","3.41177109858028e-05"
"3rd Qu.","3.41177109858028e-05"
"Max.","3.41177109858028e-05"
