"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Rpc155StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Helas3/wgEncodeSydhTfbsHelas3Zkscan1hpa006672IggrabPk.narrowPeak.csv"
"jaccard_index","0.0179087105904902"
"pi_score","18.8979211506263"
"p_value","0.5"
"percentage_A","0.15318602778337"
"percentage_B","0.0198764722042867"
"Min.","0.000656864432564896"
"1st Qu.","0.000656864432564896"
"Median","0.000656864432564896"
"Mean","0.000656864432564896"
"3rd Qu.","0.000656864432564896"
"Max.","0.000656864432564896"
