"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeBroadHistoneHepg2CtcfStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2CebpzIggrabPk.narrowPeak.csv"
"jaccard_index","0.00431834491308188"
"pi_score","15.4210468351212"
"p_value","0.5"
"percentage_A","0.0043487595156693"
"percentage_B","0.381742202843997"
"Min.","0.000194101518087022"
"1st Qu.","0.000194101518087022"
"Median","0.000194101518087022"
"Mean","0.000194101518087022"
"3rd Qu.","0.000194101518087022"
"Max.","0.000194101518087022"
