"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeBroadHistoneHepg2H2azStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Foxa1sc101058V0416101PkRep1.broadPeak.csv"
"jaccard_index","0.011294843169834"
"pi_score","1.13531023858731"
"p_value","0.5"
"percentage_A","0.0114537718621868"
"percentage_B","0.448733233590718"
"Min.","0.00689590248721705"
"1st Qu.","0.00689590248721705"
"Median","0.00689590248721705"
"Mean","0.00689590248721705"
"3rd Qu.","0.00689590248721705"
"Max.","0.00689590248721705"
