"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeBroadHistoneHepg2H2azStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Sp2V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.000809527508061898"
"pi_score","2.00500146955203"
"p_value","0.5"
"percentage_A","0.00080976049544147"
"percentage_B","0.737777654501336"
"Min.","0.000279860996772333"
"1st Qu.","0.000279860996772333"
"Median","0.000279860996772333"
"Mean","0.000279860996772333"
"3rd Qu.","0.000279860996772333"
"Max.","0.000279860996772333"
