"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeBroadHistoneHepg2H3k27me3StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeBroadHistoneHepg2H4k20me1StdPk.broadPeak.csv"
"jaccard_index","0.215846959333208"
"pi_score","1.29541570024974"
"p_value","0.5"
"percentage_A","0.31282276273653"
"percentage_B","0.410473000516481"
"Min.","0.11549474911058"
"1st Qu.","0.11549474911058"
"Median","0.11549474911058"
"Mean","0.11549474911058"
"3rd Qu.","0.11549474911058"
"Max.","0.11549474911058"
