"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeBroadHistoneHepg2H3k4me2StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Nficsc81335V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.0762266009400295"
"pi_score","13.2319342775981"
"p_value","0.5"
"percentage_A","0.0765169629343022"
"percentage_B","0.952578398036862"
"Min.","0.00399308615178826"
"1st Qu.","0.00399308615178826"
"Median","0.00399308615178826"
"Mean","0.00399308615178826"
"3rd Qu.","0.00399308615178826"
"Max.","0.00399308615178826"
