"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeBroadHistoneHepg2H3k79me2StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Foxa2sc6554V0416101PkRep1.broadPeak.csv"
"jaccard_index","0.0115451937602849"
"pi_score","2.65054446176653"
"p_value","0.5"
"percentage_A","0.0117604064240482"
"percentage_B","0.386839003038374"
"Min.","0.00301919798720382"
"1st Qu.","0.00301919798720382"
"Median","0.00301919798720382"
"Mean","0.00301919798720382"
"3rd Qu.","0.00301919798720382"
"Max.","0.00301919798720382"
