"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeBroadHistoneHepg2H3k79me2StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Tcf12Pcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.00524331816258873"
"pi_score","2.45236975673781"
"p_value","0.5"
"percentage_A","0.00530295128170609"
"percentage_B","0.317996792777357"
"Min.","0.00148199152725308"
"1st Qu.","0.00148199152725308"
"Median","0.00148199152725308"
"Mean","0.00148199152725308"
"3rd Qu.","0.00148199152725308"
"Max.","0.00148199152725308"
